DrugID,Phone
1,497428935444
2,497428935444
3,33467107252
4,33467107252
5,496101603214
6,496101603214
7,31525687320
8,31525687200
9,4401926482511
10,35316308410
11,35316308410
12,35316308410
13,35316308410
14,35316308410
15,35316308410
16,4969478730
17,32470202130
18,34935659776
19,37125117750
20,33155724100
21,35622294000
22,351210414119
23,390261246439
24,4915118939555
25,48502787623
26,48502787623
27,35622294000
28,35622294000
29,35622294000
30,0040730199839
31,351210414119
32,35622294000
33,35622294000
34,390261246439
35,390261246439
36,390261246439
37,4915118939555
38,4915118939555
39,35622294000
40,34935659776
41,390261246439
42,496101603214
43,35622294000
44,40264501163
45,491723643749
46,499114302364
47,4969478730
48,34619275590
49,390261246439
50,390261246439
51,390261246439
52,390261246439
53,390261246439
54,35622294000
55,38513724563
56,38513724563
57,4915118939555
58,496101603214
59,38513724563
60,38513724563
61,390261246439
62,390261246439
63,390261246439
64,40730199839
65,35622294000
66,491723643749
67,498142443920
68,34937002525
69,48690150933
70,390261246439
71,34935659776
72,38513724563
73,390261246439
74,390261246439
75,390261246439
76,48502787623
77,48502787623
78,48502787623
79,48502787623
80,48502787623
81,48502787623
82,49089451874828
83,31850509801
84,4402039720005
85,35622294000
86,37129865787
87,491723643749
88,496101603214
89,498142443920
90,498142443920
91,498142443920
92,4969478730
93,48690150933
94,4407507477573
95,4407507477573
96,34619275590
97,35622294000
98,390261246439
99,390261246439
100,390261246439
101,390261246439
102,390261246439
103,390261246439
104,4915118939555
105,4915118939555
106,4915118939555
107,4915118939555
108,496101603214
109,496101603214
110,496101603214
111,496101603214
112,40264501163
113,38513724563
114,38513724563
115,38513724563
116,37129865787
117,390261246439
118,390261246439
119,390261246439
120,390261246439
121,390261246439
122,390261246439
123,390261246439
124,390261246439
125,390261246439
126,390261246439
127,390261246439
128,420602549911
129,390261246439
130,390261246439
131,48502787623
132,390261246439
133,34603796658
134,48223200611
135,390261246439
136,390261246439
137,4915118939555
138,4915118939555
139,0049047216060
140,0038512334225
141,441344382407
142,441344382407
143,441344382407
144,441344382407
145,441344382407
146,441344382407
