ID,DepartmentID,Type,State
1,1,ICU,Available
2,1,ICU,Available
3,1,MultiBed,Available
4,1,MultiBed,Available
5,1,Single,Available
6,1,MultiBed,Available
7,1,MultiBed,Available
8,1,MultiBed,Available
9,1,MultiBed,Available
10,1,Single,Available
11,1,MultiBed,Available
12,1,MultiBed,Available
13,1,MultiBed,Available
14,1,MultiBed,Available
15,1,Single,Available
16,1,MultiBed,Available
17,1,MultiBed,Available
18,1,MultiBed,Available
19,1,MultiBed,Available
20,1,Single,Available
21,1,MultiBed,Available
22,1,MultiBed,Available
23,1,MultiBed,Available
24,1,MultiBed,Available
25,1,Single,Available
26,1,MultiBed,Available
27,1,MultiBed,Available
28,1,MultiBed,Available
29,1,MultiBed,Available
30,1,Single,Available
31,1,MultiBed,Available
32,1,MultiBed,Available
33,1,MultiBed,Available
34,1,MultiBed,Available
35,1,Single,Available
36,1,MultiBed,Available
37,1,MultiBed,Available
38,1,MultiBed,Available
39,1,MultiBed,Available
40,1,Single,Available
41,1,MultiBed,Available
42,1,MultiBed,Available
43,1,MultiBed,Available
44,1,MultiBed,Available
45,1,Single,Available
46,1,MultiBed,Available
47,1,MultiBed,Available
48,1,MultiBed,Available
49,1,MultiBed,Available
50,1,Single,Available
1,2,ICU,Available
2,2,ICU,Available
3,2,MultiBed,Available
4,2,MultiBed,Available
5,2,Single,Available
6,2,MultiBed,Available
7,2,MultiBed,Available
8,2,MultiBed,Available
9,2,MultiBed,Available
10,2,Single,Available
11,2,MultiBed,Available
12,2,MultiBed,Available
13,2,MultiBed,Available
14,2,MultiBed,Available
15,2,Single,Available
16,2,MultiBed,Available
17,2,MultiBed,Available
18,2,MultiBed,Available
19,2,MultiBed,Available
20,2,Single,Available
21,2,MultiBed,Available
22,2,MultiBed,Available
23,2,MultiBed,Available
24,2,MultiBed,Available
25,2,Single,Available
26,2,MultiBed,Available
27,2,MultiBed,Available
28,2,MultiBed,Available
29,2,MultiBed,Available
30,2,Single,Available
31,2,MultiBed,Available
32,2,MultiBed,Available
33,2,MultiBed,Available
34,2,MultiBed,Available
35,2,Single,Available
36,2,MultiBed,Available
37,2,MultiBed,Available
38,2,MultiBed,Available
39,2,MultiBed,Available
40,2,Single,Available
41,2,MultiBed,Available
42,2,MultiBed,Available
43,2,MultiBed,Available
44,2,MultiBed,Available
45,2,Single,Available
46,2,MultiBed,Available
47,2,MultiBed,Available
48,2,MultiBed,Available
49,2,MultiBed,Available
50,2,Single,Available
1,3,ICU,Available
2,3,ICU,Available
3,3,ICU,Available
4,3,ICU,Available
5,3,ICU,Available
6,3,ICU,Available
7,3,ICU,Available
8,3,ICU,Available
9,3,ICU,Available
10,3,ICU,Available
11,3,ICU,Available
12,3,ICU,Available
13,3,ICU,Available
14,3,ICU,Available
15,3,ICU,Available
16,3,ICU,Available
17,3,ICU,Available
18,3,ICU,Available
19,3,ICU,Available
20,3,ICU,Available
21,3,ICU,Available
22,3,ICU,Available
23,3,ICU,Available
24,3,ICU,Available
25,3,ICU,Available
26,3,ICU,Available
27,3,ICU,Available
28,3,ICU,Available
29,3,ICU,Available
30,3,ICU,Available
31,3,ICU,Available
32,3,ICU,Available
33,3,ICU,Available
34,3,ICU,Available
35,3,ICU,Available
36,3,ICU,Available
37,3,ICU,Available
38,3,ICU,Available
39,3,ICU,Available
40,3,ICU,Available
41,3,ICU,Available
42,3,ICU,Available
43,3,ICU,Available
44,3,ICU,Available
45,3,ICU,Available
46,3,ICU,Available
47,3,ICU,Available
48,3,ICU,Available
49,3,ICU,Available
50,3,ICU,Available
1,4,ICU,Available
2,4,ICU,Available
3,4,MultiBed,Available
4,4,MultiBed,Available
5,4,Single,Available
6,4,MultiBed,Available
7,4,MultiBed,Available
8,4,MultiBed,Available
9,4,MultiBed,Available
10,4,Single,Available
11,4,MultiBed,Available
12,4,MultiBed,Available
13,4,MultiBed,Available
14,4,MultiBed,Available
15,4,Single,Available
16,4,MultiBed,Available
17,4,MultiBed,Available
18,4,MultiBed,Available
19,4,MultiBed,Available
20,4,Single,Available
21,4,MultiBed,Available
22,4,MultiBed,Available
23,4,MultiBed,Available
24,4,MultiBed,Available
25,4,Single,Available
26,4,MultiBed,Available
27,4,MultiBed,Available
28,4,MultiBed,Available
29,4,MultiBed,Available
30,4,Single,Available
31,4,MultiBed,Available
32,4,MultiBed,Available
33,4,MultiBed,Available
34,4,MultiBed,Available
35,4,Single,Available
36,4,MultiBed,Available
37,4,MultiBed,Available
38,4,MultiBed,Available
39,4,MultiBed,Available
40,4,Single,Available
41,4,MultiBed,Available
42,4,MultiBed,Available
43,4,MultiBed,Available
44,4,MultiBed,Available
45,4,Single,Available
46,4,MultiBed,Available
47,4,MultiBed,Available
48,4,MultiBed,Available
49,4,MultiBed,Available
50,4,Single,Available
1,5,ICU,Available
2,5,ICU,Available
3,5,MultiBed,Available
4,5,MultiBed,Available
5,5,Single,Available
6,5,MultiBed,Available
7,5,MultiBed,Available
8,5,MultiBed,Available
9,5,MultiBed,Available
10,5,Single,Available
11,5,MultiBed,Available
12,5,MultiBed,Available
13,5,MultiBed,Available
14,5,MultiBed,Available
15,5,Single,Available
16,5,MultiBed,Available
17,5,MultiBed,Available
18,5,MultiBed,Available
19,5,MultiBed,Available
20,5,Single,Available
21,5,MultiBed,Available
22,5,MultiBed,Available
23,5,MultiBed,Available
24,5,MultiBed,Available
25,5,Single,Available
26,5,MultiBed,Available
27,5,MultiBed,Available
28,5,MultiBed,Available
29,5,MultiBed,Available
30,5,Single,Available
31,5,MultiBed,Available
32,5,MultiBed,Available
33,5,MultiBed,Available
34,5,MultiBed,Available
35,5,Single,Available
36,5,MultiBed,Available
37,5,MultiBed,Available
38,5,MultiBed,Available
39,5,MultiBed,Available
40,5,Single,Available
41,5,MultiBed,Available
42,5,MultiBed,Available
43,5,MultiBed,Available
44,5,MultiBed,Available
45,5,Single,Available
46,5,MultiBed,Available
47,5,MultiBed,Available
48,5,MultiBed,Available
49,5,MultiBed,Available
50,5,Single,Available
1,6,ICU,Available
2,6,ICU,Available
3,6,MultiBed,Available
4,6,MultiBed,Available
5,6,Single,Available
6,6,MultiBed,Available
7,6,MultiBed,Available
8,6,MultiBed,Available
9,6,MultiBed,Available
10,6,Single,Available
11,6,MultiBed,Available
12,6,MultiBed,Available
13,6,MultiBed,Available
14,6,MultiBed,Available
15,6,Single,Available
16,6,MultiBed,Available
17,6,MultiBed,Available
18,6,MultiBed,Available
19,6,MultiBed,Available
20,6,Single,Available
21,6,MultiBed,Available
22,6,MultiBed,Available
23,6,MultiBed,Available
24,6,MultiBed,Available
25,6,Single,Available
26,6,MultiBed,Available
27,6,MultiBed,Available
28,6,MultiBed,Available
29,6,MultiBed,Available
30,6,Single,Available
31,6,MultiBed,Available
32,6,MultiBed,Available
33,6,MultiBed,Available
