DepartmentID,ShiftTypeName,Date
1,Morning,2026-03-09
1,Afternoon,2026-03-09
1,Night,2026-03-09
1,Morning,2026-03-10
1,Afternoon,2026-03-10
1,Night,2026-03-10
1,Morning,2026-03-11
1,Afternoon,2026-03-11
1,Night,2026-03-11
1,Morning,2026-03-12
1,Afternoon,2026-03-12
1,Night,2026-03-12
1,Morning,2026-03-13
1,Afternoon,2026-03-13
1,Night,2026-03-13
1,Morning,2026-03-14
1,Afternoon,2026-03-14
1,Night,2026-03-14
1,Morning,2026-03-15
1,Afternoon,2026-03-15
1,Night,2026-03-15
2,Morning,2026-03-09
2,Afternoon,2026-03-09
2,Night,2026-03-09
2,Morning,2026-03-10
2,Afternoon,2026-03-10
2,Night,2026-03-10
2,Morning,2026-03-11
2,Afternoon,2026-03-11
2,Night,2026-03-11
2,Morning,2026-03-12
2,Afternoon,2026-03-12
2,Night,2026-03-12
2,Morning,2026-03-13
2,Afternoon,2026-03-13
2,Night,2026-03-13
2,Morning,2026-03-14
2,Afternoon,2026-03-14
2,Night,2026-03-14
2,Morning,2026-03-15
2,Afternoon,2026-03-15
2,Night,2026-03-15
3,Morning,2026-03-09
3,Afternoon,2026-03-09
3,Night,2026-03-09
3,Morning,2026-03-10
3,Afternoon,2026-03-10
3,Night,2026-03-10
3,Morning,2026-03-11
3,Afternoon,2026-03-11
3,Night,2026-03-11
3,Morning,2026-03-12
3,Afternoon,2026-03-12
3,Night,2026-03-12
3,Morning,2026-03-13
3,Afternoon,2026-03-13
3,Night,2026-03-13
3,Morning,2026-03-14
3,Afternoon,2026-03-14
3,Night,2026-03-14
3,Morning,2026-03-15
3,Afternoon,2026-03-15
3,Night,2026-03-15
4,Morning,2026-03-09
4,Afternoon,2026-03-09
4,Night,2026-03-09
4,Morning,2026-03-10
4,Afternoon,2026-03-10
4,Night,2026-03-10
4,Morning,2026-03-11
4,Afternoon,2026-03-11
4,Night,2026-03-11
4,Morning,2026-03-12
4,Afternoon,2026-03-12
4,Night,2026-03-12
4,Morning,2026-03-13
4,Afternoon,2026-03-13
4,Night,2026-03-13
4,Morning,2026-03-14
4,Afternoon,2026-03-14
4,Night,2026-03-14
4,Morning,2026-03-15
4,Afternoon,2026-03-15
4,Night,2026-03-15
5,Morning,2026-03-09
5,Afternoon,2026-03-09
5,Night,2026-03-09
5,Morning,2026-03-10
5,Afternoon,2026-03-10
5,Night,2026-03-10
5,Morning,2026-03-11
5,Afternoon,2026-03-11
5,Night,2026-03-11
5,Morning,2026-03-12
5,Afternoon,2026-03-12
5,Night,2026-03-12
5,Morning,2026-03-13
5,Afternoon,2026-03-13
5,Night,2026-03-13
5,Morning,2026-03-14
5,Afternoon,2026-03-14
5,Night,2026-03-14
5,Morning,2026-03-15
5,Afternoon,2026-03-15
5,Night,2026-03-15
6,Morning,2026-03-09
6,Afternoon,2026-03-09
6,Night,2026-03-09
6,Morning,2026-03-10
6,Afternoon,2026-03-10
6,Night,2026-03-10
6,Morning,2026-03-11
6,Afternoon,2026-03-11
6,Night,2026-03-11
6,Morning,2026-03-12
6,Afternoon,2026-03-12
6,Night,2026-03-12
6,Morning,2026-03-13
6,Afternoon,2026-03-13
6,Night,2026-03-13
6,Morning,2026-03-14
6,Afternoon,2026-03-14
6,Night,2026-03-14
6,Morning,2026-03-15
6,Afternoon,2026-03-15
6,Night,2026-03-15
7,Morning,2026-03-09
7,Afternoon,2026-03-09
7,Night,2026-03-09
7,Morning,2026-03-10
7,Afternoon,2026-03-10
7,Night,2026-03-10
7,Morning,2026-03-11
7,Afternoon,2026-03-11
7,Night,2026-03-11
7,Morning,2026-03-12
7,Afternoon,2026-03-12
7,Night,2026-03-12
7,Morning,2026-03-13
7,Afternoon,2026-03-13
7,Night,2026-03-13
7,Morning,2026-03-14
7,Afternoon,2026-03-14
7,Night,2026-03-14
7,Morning,2026-03-15
